slug,title,fluff_phrases,intro_word_count,related_count,substitution_notes,dietary_tips,doneness_review_candidates,doneness_examples,bare_oven_celsius
cold-brew-coffee,Cold Brew Coffee,,84,4,0,0,0,,0
coleslaw,Coleslaw,,74,4,0,0,0,,0
colomba,Colomba Pasquale,,119,4,0,0,0,,0
com-tam,Cơm Tấm,,88,4,3,2,0,,0
complet-poisson,Complet Poisson,,105,4,1,0,0,,0
completo,Completo Italiano,,73,4,0,0,0,,0
conchas,Conchas,,87,4,0,0,0,,0
congee,Century Egg Congee,,83,4,3,1,0,,0
coq-au-vin,Coq au Vin,,79,4,2,1,0,,0
coquilles-saint-jacques,Coquilles Saint-Jacques,,83,4,2,1,0,,0
cordon-bleu,Cordon Bleu,,104,4,0,1,0,,0
corn-chowder,Corn Chowder,,87,4,2,0,0,,0
corn-on-the-cob,Corn on the Cob,,115,4,1,0,0,,0
cornbread,Skillet Cornbread,,81,4,1,0,0,,0
corned-beef-and-cabbage,Corned Beef and Cabbage,,134,4,1,0,0,,0
cornish-pasty,Cornish Pasty,,88,4,0,0,0,,0
coronation-chicken,Coronation Chicken,,99,4,1,0,0,,0
cotoletta-alla-milanese,Cotoletta alla Milanese,,130,4,0,0,0,,0
cottage-cheese-pancakes,Cottage Cheese Protein Pancakes,,86,4,0,0,0,,0
cottage-pie,Cottage Pie,,78,4,1,2,0,,0
couscous-tunisien,Couscous Tunisien,,114,4,0,0,0,,0
coxinha,Coxinha,,75,4,2,1,0,,0
cozonac,Cozonac,,90,4,0,0,0,,0
crab-cakes,Maryland Crab Cakes,,75,4,1,1,0,,0
crab-ginger-scallion,Ginger and Scallion Crab,,122,4,3,1,0,,0
cranachan,Cranachan,,71,4,1,0,0,,0
cranberry-sauce,Cranberry Sauce,,111,4,0,0,0,,0
creamed-spinach,Creamed Spinach,,118,4,2,0,0,,0
creamy-coleslaw,Creamy Coleslaw,,68,4,1,0,0,,0
creamy-polenta,Creamy Parmesan Polenta,,85,4,0,0,0,,0
creamy-tomato-soup,Creamy Tomato Soup,,79,4,3,0,0,,0
crema-catalana,Crema Catalana,,75,4,0,0,0,,0
creme-brulee,Crème Brûlée,,81,4,1,0,0,,0
creme-caramel,Crème Caramel,,100,4,1,0,0,,0
crepes-suzette,Crêpes Suzette,,95,4,0,0,0,,0
croissants,Butter Croissants,,93,4,0,0,0,,0
croque-monsieur,Croque Monsieur,,92,4,0,1,0,,0
croquetas,Jamón Croquetas,,88,4,0,1,0,,0
crostata-di-marmellata,Crostata di Marmellata,,108,4,0,0,0,,0
crying-tiger,Crying Tiger Beef,,82,4,2,1,0,,0
cuban-sandwich,Cuban Sandwich,,81,4,3,0,0,,0
cuccidati,Cuccidati,,111,4,0,0,0,,0
cucumber-sandwiches,Cucumber Sandwiches,,103,4,1,0,0,,0
cullen-skink,Cullen Skink,,79,4,1,0,0,,0
culurgiones,Culurgiones,,109,4,1,0,0,,0
cumberland-sauce,Cumberland Sauce,,112,4,0,0,0,,0
cumin-lamb,Xinjiang Cumin Lamb,,96,4,3,1,0,,0
curtido,Curtido,,81,4,1,0,0,,0
custard-tart,Custard Tart,,120,4,1,0,0,,0
dabeli,Dabeli,,89,4,0,0,0,,0
dacquoise,Dacquoise,,92,4,1,0,0,,0
dahi-vada,Dahi Vada,,80,4,2,0,0,,0
dakgalbi,Dakgalbi,,89,4,3,1,0,,0
dal-makhani,Dal Makhani,,86,4,3,0,0,,0
dal-palak,Dal Palak,,80,4,2,0,0,,0
dal-tadka,Dal Tadka,,90,4,2,0,0,,0
dan-dan-noodles,Dan Dan Noodles,,79,4,3,1,0,,0
danish-pastry,Danish Pastries,,71,4,0,0,0,,0
daube-provencale,Daube Provençale,,110,4,1,0,0,,0
deviled-eggs,Deviled Eggs,,80,4,0,0,0,,0
devilled-kidneys,Devilled Kidneys,,117,4,0,2,0,,0
devilled-whitebait,Devilled Whitebait,,117,4,0,1,0,,0
devils-on-horseback,Devils on Horseback,,113,4,0,0,0,,0
dhal-curry,Sri Lankan Dhal Curry,,94,4,3,0,0,,0
dhokla,Dhokla,,83,4,2,0,0,,0
djaj-mhammar,Djaj Mhammar,,114,4,2,0,0,,0
dobos-torte,Dobos Torte,,85,4,0,0,0,,0
doenjang-jjigae,Doenjang Jjigae,,89,4,3,0,0,,0
doigts-de-fatma,Doigts de Fatma,,109,4,0,0,0,,0
dolmades,Dolmades,,72,4,1,0,0,,0
dongpo-rou,Dongpo Rou,,119,4,2,1,0,,0
dorayaki,Dorayaki,,88,4,0,0,0,,0
doro-wat,Doro Wat,,93,4,3,0,0,,0
doubles,Trinidadian Doubles,,68,4,1,1,0,,0
dressed-crab,Dressed Crab,,108,4,0,0,0,,0
dry-fried-green-beans,Dry-Fried Green Beans,,109,4,3,1,0,,0
dublin-coddle,Dublin Coddle,,81,4,0,0,0,,0
dubu-jorim,Dubu Jorim,,87,4,2,1,0,,0
duck-confit,Duck Confit,,88,4,1,0,0,,0
dukkah,Dukkah,,110,4,1,0,0,,0
dulce-de-leche,Dulce de Leche,,79,4,0,0,0,,0
dundee-cake,Dundee Cake,,123,4,0,0,0,,0
duo-jiao-yu-tou,Duo Jiao Yu Tou,,117,4,3,1,0,,0
dutch-baby,Dutch Baby Pancake,,118,4,0,1,0,,0
ebi-fry,Ebi Fry,,90,4,1,1,0,,0
eccles-cakes,Eccles Cakes,,103,4,0,0,0,,0
eclairs,Chocolate Éclairs,,89,4,1,0,0,,0
egg-bhurji,Egg Bhurji,,89,4,1,0,0,,0
egg-bites,Bacon and Cheddar Egg Bites,,107,4,1,0,0,,0
egg-cottage-cheese-muffins,Egg and Cottage Cheese Muffins,,90,4,1,0,0,,0
egg-curry,Egg Curry,,84,4,3,0,0,,0
egg-drop-soup,Egg Drop Soup,,110,4,2,1,0,,0
egg-fried-rice,Egg Fried Rice,,78,4,2,1,0,,0
egg-salad,Egg Salad,,82,4,1,0,0,,0
egg-salad-sandwich,Egg Salad Sandwich,,112,4,0,0,0,,0
egg-tarts,Hong Kong Egg Tarts,,79,4,0,0,0,,0
eggnog,Eggnog,,102,4,1,0,0,,0
eggs-florentine,Eggs Florentine,,111,4,2,0,0,,0
egusi-soup,Egusi Soup,,89,4,0,0,0,,0
eight-treasure-rice,Eight Treasure Rice,,104,4,0,0,0,,0
eish-merahrah,Eish Merahrah,,104,4,0,0,0,,0
elote,Elote — Mexican Street Corn,,84,4,1,0,0,,0
empanadas-colombianas,Colombian Empanadas,,82,4,3,0,0,,0
enchiladas-verdes,Enchiladas Verdes,,87,4,2,0,0,,0
endives-au-jambon,Endives au Jambon,,107,4,0,1,0,,0
english-scones,English Scones,,75,4,1,0,0,,0
entrecote-marchand-de-vin,Entrecôte Marchand de Vin,,107,4,0,0,0,,0
epaule-d-agneau-confite,Épaule d'Agneau de 7 Heures,,97,4,3,0,0,,0
escargots,Escargots à la Bourguignonne,,105,4,2,0,0,,0
espresso-martini,Espresso Martini,,79,4,0,0,0,,0
esquites,Esquites,,83,4,3,0,0,,0
eton-mess,Eton Mess,,82,4,2,0,0,,0
fabada-asturiana,Fabada Asturiana,,80,4,1,0,0,,0
falafel,Crispy Falafel,,80,4,1,0,0,,0
falooda,Falooda,,82,4,0,0,0,,0
far-breton,Far Breton,,90,4,0,0,0,,0
farinata,Farinata,,111,4,0,0,0,,0
farro-salad,Farro and Roasted Vegetable Salad,,118,4,0,0,0,,0
fasolada,Fasolada,,91,4,2,0,0,,0
fasolia-bi-lahme,Fasolia bi Lahme,,102,4,1,0,0,,0
fatayer-sabanekh,Spinach Fatayer,,102,4,0,1,0,,0
fattah,Fattah,,111,4,2,0,0,,0
fattet-hummus,Fattet Hummus,,84,4,1,0,0,,0
fattoush,Fattoush Salad,,69,4,2,0,0,,0
feijoada,Feijoada Brasileira,,91,4,1,0,0,,0
felfel-mahchi,Felfel Mahchi,,105,4,1,0,0,,0
ferakh-mashwi,Ferakh Mashwi,,101,4,1,0,0,,0
fesenjan,Fesenjan,,89,4,1,0,0,,0
feteer-meshaltet,Feteer Meshaltet,,102,4,0,0,0,,0
fettuccine-alfredo,Fettuccine Alfredo,,84,4,0,0,0,,0
filter-coffee,South Indian Filter Coffee,,81,4,0,0,0,,0
financiers,Financiers,,105,4,0,0,0,,0
fiori-di-zucca,Fiori di Zucca Fritti,,94,4,0,1,0,,0
fish-and-chips,Beer-Battered Fish and Chips,,77,4,0,1,0,,0
fish-pie,Fish Pie,,115,4,1,1,0,,0
fish-tacos,Baja Fish Tacos,,78,4,1,1,0,,0
fish-tikka,Fish Tikka,,83,4,2,0,0,,0
flan-napolitano,Flan Napolitano,,76,4,0,0,0,,0
flan-parisien,Flan Parisien,,99,4,1,0,0,,0
flapjacks,Flapjacks,,95,4,0,0,0,,0
fluffy-pancakes,Fluffy Pancakes,,79,4,1,1,0,,0
focaccia,Rosemary Focaccia,,87,4,0,0,0,,0
focaccia-genovese,Focaccia Genovese,,84,4,0,0,0,,0
foie-de-veau,Foie de Veau Lyonnaise,,101,4,0,0,0,,0
fondue-savoyarde,Fondue Savoyarde,,98,4,2,0,0,,0
fougasse,Fougasse,,98,4,1,0,0,,0
fraisier,Fraisier,,101,4,0,0,0,,0
freekeh-djaj,Freekeh with Chicken,,108,4,0,0,0,,0
fregola,Fregola con Arselle,,81,4,2,0,0,,0
french-dip,French Dip,,93,4,1,2,0,,0
french-onion-soup,French Onion Soup,,90,4,2,1,0,,0
french-toast,Brioche French Toast,,74,4,1,0,0,,0
fricasse,Fricassé,,102,4,0,1,0,,0
fried-plantain,Fried Sweet Plantain,,79,4,1,0,0,,0
frikadeller,Frikadeller,,75,4,1,0,0,,0
frittata,Vegetable Frittata,,122,4,2,0,0,,0
fritto-misto,Fritto Misto,,92,4,0,1,0,,0
fruit-tart,French Fruit Tart,,126,4,0,0,0,,0
fudge,Chocolate Fudge,,123,4,0,0,0,,0
fudge-brownies,Fudge Brownies,,96,4,0,0,0,,0
fudgy-brownies,Fudgy Cocoa Brownies,,78,4,0,0,0,,0
ful-medames,Ful Medames,,96,4,1,0,0,,0
full-english-breakfast,Full English Breakfast,,77,4,0,0,0,,0
gado-gado,Gado-Gado,,75,4,3,0,0,,0
gajar-ka-halwa,Gajar ka Halwa,,84,4,0,0,0,,0
galaktoboureko,Galaktoboureko,,87,4,0,0,0,,0
galbi,Galbi (Korean Short Ribs),,79,4,3,1,0,,0
galette-des-rois,Galette des Rois,,111,4,0,1,0,,0
galettes-bretonnes,Galettes Bretonnes,,104,4,0,0,0,,0
gambas-al-ajillo,Gambas al Ajillo,,78,4,2,0,0,,0
gammon-parsley-sauce,Gammon with Parsley Sauce,,121,4,0,1,0,,0
garbure,Garbure,,102,4,1,0,0,,0
garlic-bread,Garlic Bread,,85,4,1,0,0,,0
garlic-butter-shrimp,Garlic Butter Shrimp,,116,4,1,0,0,,0
garlic-butter-steak-bites,Garlic Butter Steak Bites,,109,4,1,0,0,,0
garlic-focaccia,Garlic Confit Focaccia,,129,4,1,0,0,,0
garlic-mushroom-toast,Garlic Mushroom Toast,,121,4,1,1,0,,0
garlic-naan,Garlic Butter Naan,,77,4,1,0,0,,0
garlic-prawn-courgette-noodles,Garlic Prawns with Courgette Noodles,,84,4,1,0,0,,0
gateau-au-yaourt,Gâteau au Yaourt,,94,4,0,0,0,,0
gateau-basque,Gâteau Basque,,83,4,0,0,0,,0
gazpacho,Andalusian Gazpacho,,80,4,1,0,0,,0
gebna-domiati,Gebna Domiati Salad,,105,4,1,0,0,,0
general-tsos-chicken,General Tso's Chicken,,78,4,3,2,0,,0
german-potato-salad,Warm German Potato Salad,,70,4,2,0,0,,0
ghoriba,Ghoriba,,89,4,0,0,0,,0
ghormeh-sabzi,Ghormeh Sabzi,,82,4,2,0,0,,0
giardiniera,Giardiniera,,88,4,3,0,0,,0
gigot-d-agneau,Gigot d'Agneau,,101,4,2,0,0,,0
gingerbread-cookies,Gingerbread Cookies,,79,4,0,1,0,,0
glamorgan-sausages,Glamorgan Sausages,,112,4,0,0,0,,0
glogg,Glögg,,116,4,1,0,0,,0
gnocchi-alla-sorrentina,Gnocchi alla Sorrentina,,83,4,1,1,0,,0
gobi-manchurian,Gobi Manchurian,,84,4,3,2,0,,0
goi-cuon,Gỏi Cuốn (Fresh Spring Rolls),,90,4,3,0,0,,0
goi-ga,Gỏi Gà,,81,4,3,1,0,,0
golabki,Gołąbki,,83,4,1,0,0,,0
gomae,Gomae,,102,4,0,1,0,,0
gorditas,Gorditas,,84,4,0,0,0,,0
gougeres,Gougères,,105,4,0,1,0,,0
goulash-masri,Goulash Masri,,104,4,0,0,0,,0
granita-di-caffe,Granita di Caffè,,99,4,0,0,0,,0
granola,Maple Pecan Granola,,77,4,0,0,0,,0
gratin-dauphinois,Gratin Dauphinois,,87,4,2,0,0,,0
gratin-de-courgettes,Gratin de Courgettes,,95,4,2,0,0,,0
gratin-de-macaronis,Gratin de Macaronis,,96,4,0,1,0,,0
gravlax,Gravlax,,92,4,1,0,0,,0
greek-chicken-traybake,Greek Chicken Traybake,,80,4,3,0,0,,0
greek-lemon-potatoes,Greek Lemon Potatoes,,78,4,1,0,0,,0
greek-salad,Horiatiki Greek Salad,,87,4,0,0,0,,0
greek-yogurt-honey,Greek Yoghurt with Honey and Walnuts,,83,4,0,0,0,,0
green-bean-casserole,Green Bean Casserole,,122,4,2,2,0,,0
green-goddess-salad,Green Goddess Salad,,112,4,2,0,0,,0
grilled-cheese,Grilled Cheese Sandwich,,87,4,0,0,0,,0
grilled-cheese-sandwich,Skillet Grilled Cheese,,82,4,0,0,0,,0
grilled-halloumi-salad,Grilled Halloumi and Herb Salad,,94,4,1,0,0,,0
grilled-kippers,Grilled Kippers,,105,4,0,0,0,,0
guacamole,Authentic Guacamole,,79,4,2,0,0,,0
gulab-jamun,Gulab Jamun,,77,4,0,0,0,,0
gumbo,Chicken and Sausage Gumbo,,103,4,3,1,0,,0
gyeranjjim,Gyeranjjim,,93,4,2,0,0,,0
gyoza,Pork Gyoza,,79,4,3,1,0,,0
gyros,Pork Gyros,,82,4,2,0,0,,0
gyudon,Gyudon,,88,4,2,1,0,,0
hachis-parmentier,Hachis Parmentier,,112,4,0,0,0,,0
haemul-pajeon,Haemul Pajeon,,81,4,2,2,0,,0
haggis-neeps-tatties,"Haggis, Neeps and Tatties",,86,4,1,0,0,,0
hainanese-chicken-rice,Hainanese Chicken Rice,,89,4,3,0,0,,0
hakka-noodles,Hakka Noodles,,83,4,3,1,0,,0
halawet-el-jibn,Halawet el Jibn,,110,4,1,0,0,,0
haleem,Haleem,,90,4,3,0,0,,0
halloumi-wrap,Grilled Halloumi Wrap,,114,4,3,0,0,,0
halo-halo,Halo-Halo,,86,4,0,0,0,,0
hamam-mahshi,Hamam Mahshi,,91,4,0,0,0,,0
har-gow,Har Gow,,121,4,0,0,0,,0
harees,Harees,,82,4,0,0,0,,0
harira,Harira Soup,,71,4,1,1,0,,0
harissa,Harissa,,125,4,2,0,0,,0
hash-browns,Crispy Hash Browns,,80,4,0,0,0,,0
haupia,Haupia,,97,4,1,0,0,,0
hawawshi,Hawawshi,,110,4,2,0,0,,0
hiyayakko,Hiyayakko,,81,4,2,0,0,,0
hlelem,Hlelem,,105,4,1,0,0,,0
hokkien-mee,Hokkien Mee,,98,4,2,1,0,,0
home-style-tofu,Home-Style Tofu,,109,4,2,1,0,,0
honey-garlic-chicken,Honey Garlic Chicken,,121,4,2,1,0,,0
honey-glazed-ham,Honey Glazed Ham,,130,4,0,0,0,,0
honey-roast-parsnips,Honey Roast Parsnips,,112,4,0,0,0,,0
hong-kong-egg-waffle,Hong Kong Egg Waffle,,110,4,0,0,0,,0
hong-kong-milk-tea,Hong Kong Milk Tea,,90,4,0,0,0,,0
hong-shao-rou,Red-Braised Pork Belly,,94,4,3,1,0,,0
hoppers,Egg Hoppers,,78,4,1,0,0,,0
horchata,Horchata,,66,4,0,0,0,,0
hot-and-sour-potato,Hot and Sour Potato Slivers,,104,4,3,1,0,,0
hot-and-sour-soup,Hot and Sour Soup,,80,4,2,1,0,,0
hot-chocolate,French-Style Hot Chocolate,,82,4,1,0,0,,0
hot-cross-buns,Hot Cross Buns,,108,4,0,0,0,,0
hot-dry-noodles,Hot Dry Noodles,,101,4,3,1,0,,0
hot-toddy,Hot Toddy,,101,4,0,0,0,,0
hotteok,Hotteok,,87,4,0,0,0,,0
hout-mechoui,Hout Mechoui,,99,4,1,0,0,,0
huevos-rancheros,Huevos Rancheros,,70,4,3,0,0,,0
hummus,Silky Hummus,,82,4,1,0,0,,0
hummus-beiruti,Hummus Beiruti,,105,4,2,0,0,,0
hungarian-goulash,Hungarian Goulash,,92,4,2,0,0,,0
hyderabadi-biryani,Hyderabadi Biryani,,87,4,3,0,0,,0
idli-sambar,Idli Sambar,,85,4,1,0,0,,0
imam-bayildi,Imam Bayildi,,97,4,1,0,0,,0
injera,Injera,,116,4,0,0,0,,0
insalata-di-mare,Insalata di Mare,,99,4,1,0,0,,0
involtini-di-manzo,Involtini di Manzo,,122,4,1,0,0,,0
irish-coffee,Irish Coffee,,113,4,1,0,0,,0
irish-stew,Irish Stew,,82,4,1,0,0,,0
iskender-kebab,İskender Kebab,,90,4,2,0,0,,0
israeli-couscous-salad,Israeli Couscous Salad,,69,4,1,0,0,,0
italian-chopped-salad,Italian Chopped Salad,,107,4,2,0,0,,0
jachnun,Jachnun,,93,4,0,1,0,,0
jackfruit-tacos,Pulled Jackfruit Tacos,,121,4,3,1,0,,0
jalebi,Jalebi,,85,4,0,0,0,,0
jaljeera,Jaljeera,,81,4,2,0,0,,0
jallab,Jallab,,110,4,0,0,0,,0
jam-roly-poly,Jam Roly-Poly,,109,4,1,0,0,,0
jamaican-curry-goat,Jamaican Curry Goat,,95,4,3,0,0,,0
jamaican-patties,Jamaican Beef Patties,,79,4,2,1,0,,0
jamaican-patty,Jamaican Beef Patty,,72,4,3,1,0,,0
jambalaya,Louisiana Jambalaya,,87,4,3,0,0,,0
jambon-persille,Jambon Persillé,,97,4,2,0,0,,0
japanese-cheesecake,Japanese Cotton Cheesecake,,88,4,0,0,0,,0
japanese-curry-roux,Japanese Curry Roux,,90,4,0,2,0,,0
japanese-milk-bread,Japanese Milk Bread (Shokupan),,87,4,0,0,0,,0
japchae,Japchae,,76,4,2,1,0,,0
jazar-bi-tahini,Carrot and Tahini Salad,,104,4,1,0,0,,0
jellied-eels,Jellied Eels,,117,4,1,0,0,,0
jerk-chicken,Jamaican Jerk Chicken,,81,4,3,1,0,,0
jerk-pork,Jerk Pork,,97,4,3,0,0,,0
jianbing,Jianbing,,110,4,2,1,0,,0
jollof-rice,Jollof Rice,,97,4,2,0,0,,0
joojeh-kabab,Joojeh Kabab,,69,4,0,0,0,,0
joulutorttu,Joulutorttu,,91,4,0,1,0,,0
julekake,Julekake,,93,4,0,1,0,,0
kaak-bil-simsim,Ka'ak bil Simsim,,109,4,0,0,0,,0
kabkabou,Kabkabou,,95,4,1,0,0,,0
kachumbari,Kachumbari,,83,4,2,0,0,,0
kadai-paneer,Kadai Paneer,,79,4,3,0,0,,0
kafteji,Kafteji,,113,4,0,0,0,,0
kaiserschmarrn,Kaiserschmarrn,,81,4,0,0,0,,0
kaju-katli,Kaju Katli,,87,4,0,0,0,,0
kakuni,Buta no Kakuni,,91,4,2,1,0,,0
kale-caesar,Kale Caesar Salad,,123,4,1,1,0,,0
kamounia,Kamounia,,116,4,1,0,0,,0
kanelbullar,Kanelbullar,,82,4,0,0,0,,0
kare-kare,Kare-Kare,,83,4,1,0,0,,0
karelian-pies,Karelian Pies,,79,4,0,0,0,,0
karjalanpaisti,Karelian Hot Pot,,120,4,0,0,0,,0
karkade,Karkade,,108,4,0,0,0,,0
karniyarik,Karnıyarık,,81,4,1,0,0,,0
kartoffelsalat,German Potato Salad,,78,4,1,0,0,,0
katsu-curry,Katsu Curry,,87,4,2,2,0,,0
katsudon,Katsudon,,91,4,1,1,0,,0
kaya-toast,Kaya Toast,,99,4,0,1,0,,0
kebda-eskandarani,Kebda Eskandarani,,104,4,2,0,0,,0
kedgeree,Kedgeree,,110,4,0,0,0,,0
keema-matar,Keema Matar,,86,4,3,0,0,,0
keftedes,Greek Keftedes,,85,4,2,1,0,,0
kelewele,Kelewele,,77,4,1,0,0,,0
kerala-fish-curry,Kerala Fish Curry,,88,4,3,0,0,,0
key-lime-pie,Key Lime Pie,,75,4,2,0,0,,0
khachapuri,Adjaruli Khachapuri,,85,4,0,0,0,,0
khai-jiao,Khai Jiao,,89,4,3,1,0,,0
khanom-krok,Khanom Krok,,83,4,2,0,0,,0
khao-soi,Khao Soi,,94,4,3,1,0,,0
kheer,Rice Kheer,,86,4,0,0,0,,0
khichdi,Khichdi,,95,4,2,0,0,,0
khinkali,Khinkali,,88,4,1,1,0,,0
khobz-tabouna,Khobz Tabouna,,102,4,0,0,0,,0
khubz-arabi,Khubz Arabi,,131,4,0,0,0,,0
kibbeh,Baked Kibbeh,,84,4,0,0,0,,0
kibbeh-bil-sanieh,Kibbeh bil Sanieh,,111,4,0,0,0,,0
kibbeh-labaniyeh,Kibbeh Labaniyeh,,109,4,2,0,0,,0
kibbeh-mekliyeh,Fried Kibbeh,,124,4,0,0,0,,0
kimbap,Kimbap,,92,4,0,1,0,,0
kimchi,Napa Cabbage Kimchi,,76,4,3,1,0,,0
kimchi-fried-rice,Kimchi Fried Rice,,90,4,2,0,0,,0
kimchi-jjigae,Kimchi Jjigae,,72,4,2,0,0,,0
kishk-masri,Kishk Masri,,111,4,1,1,0,,0
kisir,Kısır,,89,4,1,0,0,,0
kjottkaker,Kjøttkaker,,112,4,0,2,0,,0
knafeh,Knafeh,,77,4,0,0,0,,0
knafeh-nabulsi,Knafeh Nabulsi,,71,4,0,0,0,,0
knedliky,Czech Dumplings,,82,4,0,1,0,,0
kofta-masreya,Kofta Masreya,,123,4,1,0,0,,0
kombucha,Kombucha,,113,4,1,0,0,,0
kookoo-sabzi,Kookoo Sabzi,,94,4,0,0,0,,0
korean-corn-cheese,Korean Corn Cheese,,81,4,1,0,0,,0
korean-fried-chicken,Korean Fried Chicken,,72,4,3,2,0,,0
koshari,Egyptian Koshari,,80,4,1,1,0,,0
kottu-roti,Kottu Roti,,86,4,3,1,0,,0
kouign-amann,Kouign-Amann,,104,4,0,0,0,,0
kousa-bil-laban,Kousa bil Laban,,103,4,2,0,0,,0
koussa-mahshi,Koussa Mahshi,,106,4,2,0,0,,0
krumkake,Krumkake,,85,4,1,0,0,,0
kulfi,Kulfi,,86,4,0,0,0,,0
kunafa-bil-manga,Kunafa bil Manga,,104,4,1,0,0,,0
kunefe,Künefe,,76,4,0,0,0,,0
kung-pao-chicken,Kung Pao Chicken,,87,4,3,1,0,,0
kutia,Kutia,,96,4,0,0,0,,0
kvass,Bread Kvass,,93,4,0,0,0,,0
la-zi-ji,La Zi Ji,,112,4,3,1,0,,0
lablabi,Lablabi,,118,4,1,0,0,,0
labneh,Labneh with Za'atar,,93,4,1,0,0,,0
lahmacun,Lahmacun,,76,4,1,0,0,,0
laksa,Curry Laksa,,84,4,3,1,0,,0
lamb-kofta-kebabs,Lamb Kofta Kebabs,,73,4,1,0,0,,0
lamb-mandi,Lamb Mandi,,94,4,2,0,0,,0
lamb-rogan-josh,Lamb Rogan Josh,,87,4,1,0,0,,0
lamb-vindaloo,Goan Lamb Vindaloo,,85,4,3,0,0,,0
lamingtons,Lamingtons,,78,4,2,0,0,,0
lancashire-hotpot,Lancashire Hotpot,,115,4,1,1,0,,0
larb-gai,Larb Gai,,100,4,2,1,0,,0
lasagna-bolognese,Lasagna Bolognese,,90,4,1,1,0,,0
laverbread-and-bacon,Laverbread with Bacon,,97,4,0,0,0,,0
layali-lubnan,Layali Lubnan,,110,4,1,0,0,,0
lecso,Lecsó,,123,4,0,0,0,,0
leek-and-potato-soup,Leek and Potato Soup,,108,4,1,0,0,,0
lemon-bars,Lemon Bars,,119,4,0,0,0,,0
lemon-meringue-pie,Lemon Meringue Pie,,80,4,0,0,0,,0
lemon-pepper-chicken,Lemon Pepper Chicken,,124,4,1,0,0,,0
lemon-posset,Lemon Posset,,109,4,1,0,0,,0
lemonade,Fresh Lemonade,,112,4,0,0,0,,0
lentil-soup,Spiced Red Lentil Soup,,81,4,2,0,0,,0
lentil-walnut-ragu,Lentil and Walnut Ragù,,90,4,2,0,0,,0
liangpi,Liangpi,,114,4,2,1,0,,0
lion-head-meatballs,Lion's Head Meatballs,,85,4,3,1,0,,0
liver-and-bacon,Liver and Bacon with Onion Gravy,,127,4,0,2,0,,0
lo-mai-gai,Lo Mai Gai,,107,4,0,1,0,,0
lo-mein,Chicken Lo Mein,,79,4,3,1,0,,0
loaded-baked-potato,Loaded Baked Potato,,95,4,1,0,0,,0
lobio,Lobio,,72,4,1,0,0,,0
lobster-bisque,Lobster Bisque,,134,4,3,0,0,,0
lobster-roll,Maine Lobster Roll,,83,4,0,0,0,,0
loco-moco,Loco Moco,,85,4,1,2,0,,0
lomo-saltado,Lomo Saltado,,84,4,1,1,0,,0
london-particular,London Particular,,116,4,0,0,0,,0
lotte-a-l-armoricaine,Lotte à l'Armoricaine,,96,4,2,0,0,,0
lotus-root-rib-soup,Lotus Root and Pork Rib Soup,,107,4,2,0,0,,0
lotus-root-stir-fry,Stir-Fried Lotus Root,,98,4,3,1,0,,0
loubieh-bzeit,Loubieh bi Zeit,,115,4,1,0,0,,0
loukoumades,Loukoumades,,88,4,0,0,0,,0
lu-rou-fan,Lu Rou Fan,,73,4,1,1,0,,0
maamoul,Maamoul,,74,4,0,0,0,,0
mac-and-cheese,Baked Mac and Cheese,,73,4,1,1,0,,0
macarona-bechamel,Macarona Bechamel,,122,4,0,1,0,,0
macarons,French Macarons,,86,4,1,0,0,,0
madeleines,Madeleines,,92,4,0,0,0,,0
madfouna,Madfouna,,113,4,1,0,0,,0
maghmour,Maghmour,,106,4,1,0,0,,0
magic-cookie-bars,Magic Cookie Bars,,127,4,0,0,0,,0
magret-de-canard,Magret de Canard,,114,4,1,0,0,,0
mahshi-cromb,Mahshi Cromb,,107,4,1,0,0,,0
makdous,Makdous,,113,4,1,0,0,,0
makowiec,Makowiec,,77,4,0,0,0,,0
makroudh,Makroudh,,110,4,0,0,0,,0
malabi,Malabi,,73,4,1,0,0,,0
malai-kofta,Malai Kofta,,84,4,3,0,0,,0
malawach,Malawach,,86,4,1,1,0,,0
malfouf-mahshi,Malfouf Mahshi,,113,4,2,0,0,,0
malloreddus,Malloreddus alla Campidanese,,94,4,1,0,0,,0
malpua,Malpua,,87,4,0,0,0,,0
malva-pudding,Malva Pudding,,82,4,1,0,0,,0
manakish-zaatar,Manakish Za'atar,,84,4,0,0,0,,0
mandazi,Mandazi,,83,4,1,0,0,,0
mango-lassi,Mango Lassi,,74,4,0,0,0,,0
mango-pomelo-sago,Mango Pomelo Sago,,96,4,2,0,0,,0
mango-sticky-rice,Mango Sticky Rice,,76,4,1,0,0,,0
mansaf,Mansaf,,88,4,0,0,0,,0
manti,Manti,,88,4,2,1,0,,0
mantou,Mantou,,111,4,0,0,0,,0
mapo-eggplant,Mapo Eggplant,,85,4,3,1,0,,0
mapo-tofu,Mapo Tofu,,75,4,3,1,0,,0
maqluba,Maqluba,,96,4,0,0,0,,0
marble-cake,Marble Cake,,117,4,0,0,0,,0
margherita-pizza,Margherita Pizza,,93,4,0,0,0,,0
maritozzo,Maritozzo,,107,4,1,0,0,,0
marqa-hlouwa,Marqa Hlouwa,,97,4,0,0,0,,0
martabak,Martabak Manis,,75,4,0,0,0,,0
masala-chai,Masala Chai,,77,4,1,0,0,,0
masala-dosa,Masala Dosa,,68,4,2,0,0,,0
masala-pav,Masala Pav,,87,4,3,0,0,,0
masfouf,Masfouf,,103,4,1,0,0,,0
